name	value
Rosberg	3463
Hamilton	2434
Bottas	2255
Massa	2258
Vettel	2768
Raikkonen	2655
Button	1033
Alonso	536
Ricciardo	2243
Kvyat	2109
Ericsson	2732
Nasr	2976
Maldonado	2231
Grosjean	1640
Sainz	2700
Verstappen	2834
Hulkenberg	1262
Perez	1327
